digit1,digit2,digit3,digit4,acc1X,acc1Y,acc1Z,gyro1X,gyro1Y,gyro1Z,rot1X,rot1Y,rot1Z,mag1X,mag1Y,mag1Z,acc2X,acc2Y,acc2Z,gyro2X,gyro2Y,gyro2Z,rot2X,rot2Y,rot2Z,mag2X,mag2Y,mag2Z,acc3X,acc3Y,acc3Z,gyro3X,gyro3Y,gyro3Z,rot3X,rot3Y,rot3Z,mag3X,mag3Y,mag3Z,acc4X,acc4Y,acc4Z,gyro4X,gyro4Y,gyro4Z,rot4X,rot4Y,rot4Z,mag4X,mag4Y,mag4Z,sequence
2.0,1.0,4.0,8.0,2.3922246,6.1232333,7.140781,0.33750278,-0.34193155,0.16859868,0.31544104,0.110243976,0.55580336,11.6625,17.925001,8.587501,2.5968108,6.2201424,7.033104,-0.023060145,0.08933897,0.013133593,0.33024657,0.099312134,0.5533103,10.59375,17.15625,8.681251,2.5722845,6.1884375,7.0414786,-0.07422007,0.06780599,-0.023365578,0.3177864,0.105532125,0.55960834,9.75,16.650002,8.775001,2.4580271,6.10768,7.196414,0.0035124724,0.035430156,0.020005822,0.32556188,0.10388572,0.55982864,7.89375,15.543751,8.8125,2148.0
2.0,1.0,4.0,8.0,2.396976945694796,6.130342154984346,7.1376002424122875,0.33750278,-0.34193155,0.16859868,0.3231450232342855,0.1076607794337267,0.5457523553460414,11.679259839918815,17.937414108455886,8.608163356939947,2.595794733061496,6.20998538988593,7.012404876994869,-0.023060145,0.08933897,0.013133593,0.3163700381521045,0.0989637376690523,0.5584462834357751,10.596222464645486,17.164479450444,8.678180444344008,2.571095881418881,6.191333430884988,7.036873688304561,-0.07422007,0.06780599,-0.023365578,0.3187086447954232,0.1209122964574962,0.5561014275308432,9.74933737865532,16.653280391745227,8.78532846360557,2.4694389739013087,6.1046785885027415,7.196630566430799,0.0035124724,0.035430156,0.020005822,0.3250177408538188,0.0934785762105033,0.5497772380651416,7.915887181442982,15.558452947899054,8.813134097926726,2148.0
2.0,1.0,4.0,8.0,2.410606365233484,6.11583851649792,7.14665214829418,0.33750278,-0.34193155,0.16859868,0.3067752030481362,0.0972032524948422,0.5623486465158847,11.663884251276356,17.932255851616944,8.592873203026778,2.597294937013965,6.225322674581269,7.042353239717276,-0.023060145,0.08933897,0.013133593,0.326137683581237,0.089099798244592,0.5390486500243967,10.593438673521756,17.14368196793619,8.684986793748045,2.5727415290455475,6.182232974502952,7.0419716558890695,-0.07422007,0.06780599,-0.023365578,0.3154606315142502,0.1016503940969152,0.5480450055128141,9.762488855268757,16.65359550395066,8.76575165096016,2.463142722543077,6.117342982163649,7.203786695118346,0.0035124724,0.035430156,0.020005822,0.3220341784357134,0.1050418808903492,0.5523932693139952,7.886219602681665,15.550057960198638,8.811959251891054,2148.0
2.0,1.0,4.0,8.0,2.3917260674457292,6.1181304739798295,7.124878798012774,0.33750278,-0.34193155,0.16859868,0.310189101034061,0.1326841668526071,0.550664286250917,11.679192436232292,17.912472631557296,8.574788650871222,2.574912062806813,6.241979695485535,7.030618959679134,-0.023060145,0.08933897,0.013133593,0.3303225313617549,0.0880975701687999,0.5558144509631813,10.621469134588216,17.174797159756483,8.673213953347565,2.57144830448358,6.17816415268264,7.028640370441663,-0.07422007,0.06780599,-0.023365578,0.3340737073861359,0.0893342428945053,0.5620162381929923,9.731872675645954,16.657896421376805,8.783334193216339,2.4631417777466136,6.115068448581934,7.187892476951528,0.0035124724,0.035430156,0.020005822,0.3293766151724049,0.0914763945946493,0.5589997590178802,7.885729606298786,15.55896837786143,8.815345861627288,2148.0
2.0,1.0,4.0,8.0,2.412482185935866,6.131558585434529,7.128263270644532,0.33750278,-0.34193155,0.16859868,0.3134338451890372,0.1201954137395131,0.5513136741420606,11.653712430681704,17.9344880626123,8.595130852173819,2.5754080072099907,6.217905088946141,7.044691904808345,-0.023060145,0.08933897,0.013133593,0.3338966636197868,0.1064938822800613,0.5450209997699254,10.617145451395809,17.157371482640546,8.672135903955848,2.578771692179653,6.185640519116728,7.033715101802659,-0.07422007,0.06780599,-0.023365578,0.3075579574862979,0.1052205207573784,0.5637540089750152,9.758967458172435,16.65368364136509,8.788793872246863,2.461899009209066,6.103774416082701,7.201210977852315,0.0035124724,0.035430156,0.020005822,0.3303436356525022,0.1056037998605075,0.5580350955747434,7.892806525766458,15.543220970942874,8.828661061635698,2148.0
2.0,1.0,4.0,8.0,2.383140854879523,6.125358474210631,7.151277169080895,0.33750278,-0.34193155,0.16859868,0.3144268213649042,0.1188265850656951,0.5609176691495047,11.676682469754908,17.919834231789075,8.588684425208493,2.577236119997093,6.230029576390361,7.025416761603583,-0.023060145,0.08933897,0.013133593,0.3273375043908122,0.1071760814444821,0.5484680963052075,10.596837454897743,17.154731843266823,8.687593317258631,2.5602315639953415,6.190177765582728,7.0318107894037,-0.07422007,0.06780599,-0.023365578,0.3116359854833354,0.1191723824145848,0.5672417621136817,9.738117564669134,16.651079624444268,8.78509147465983,2.450975139524938,6.116081652234873,7.201945374061404,0.0035124724,0.035430156,0.020005822,0.3204515276270888,0.098631464769906,0.5484250645450927,7.896442070833545,15.542532290354195,8.824872774098631,2148.0
7.0,2.0,5.0,5.0,1.4835501,5.8504515,7.489535,0.043371398,0.0006108648,0.0013744457,0.3069256,0.12921965,0.57521135,12.056251,17.2875,7.6687503,1.9806589,5.966503,7.34776,0.052687086,-0.07925971,0.10415245,0.31714326,0.1222466,0.57719886,11.64375,16.987501,7.6687503,2.2737796,6.0604215,7.3256264,-0.0368046,0.08567379,0.004123337,0.3251469,0.117455624,0.58035415,10.9875,16.6875,7.5375004,2.030908,5.918647,7.286743,-0.014202606,0.04138609,0.007941242,0.3236433,0.1178037,0.5829283,10.481251,16.48125,7.4625,7255.0
7.0,2.0,5.0,5.0,1.5059439615303376,5.84216546588287,7.485759961035388,0.043371398,0.0006108648,0.0013744457,0.3086034545389026,0.1221008284451192,0.5718596969128615,12.062224489262316,17.29599458428709,7.661180512264259,1.9650208602236583,5.966851697846265,7.350237161562288,0.052687086,-0.07925971,0.10415245,0.3252431456567638,0.123090179635618,0.5851533094113631,11.641118024002708,16.990079923373823,7.671870597093167,2.2737564082739468,6.056746232980861,7.325353866066528,-0.0368046,0.08567379,0.004123337,0.3391129999646642,0.1216995815720974,0.5797832059834118,10.978946579135837,16.67474825849275,7.534930520846563,2.0290511593062748,5.923999664586487,7.288916637246511,-0.014202606,0.04138609,0.007941242,0.3298850674399848,0.1188167621938545,0.5635220270475811,10.495609477495655,16.47187146992687,7.435582555481237,7255.0
7.0,2.0,5.0,5.0,1.4932670301984334,5.854518146120989,7.497500486307675,0.043371398,0.0006108648,0.0013744457,0.3186267668136153,0.1382294411206006,0.5945267328220252,12.060826838534238,17.286976662326865,7.652180035595149,1.9837406229746644,5.983181143624358,7.340490609401186,0.052687086,-0.07925971,0.10415245,0.3320337513743771,0.1198603022476378,0.5480455728116587,11.64478904721345,16.980402398362962,7.656337128598508,2.2891851229819835,6.065513030975665,7.334471264833195,-0.0368046,0.08567379,0.004123337,0.3230560177130229,0.1322818008803418,0.5713243509174398,10.987238494057165,16.686565446818953,7.535424195910585,2.032270508740992,5.918803443582366,7.278243284431855,-0.014202606,0.04138609,0.007941242,0.3113437791404386,0.1152295633466165,0.5778392230225188,10.49467981993988,16.46917661761867,7.462370855902951,7255.0
7.0,2.0,5.0,5.0,1.4877771246906728,5.845211040220988,7.497685591404804,0.043371398,0.0006108648,0.0013744457,0.3012174711747521,0.125197270471349,0.5866624548467481,12.059222040534674,17.29290328955134,7.681985892399981,1.9963408366048812,5.961212098541527,7.341529762048089,0.052687086,-0.07925971,0.10415245,0.3134208351243308,0.1176804690326055,0.5767573811053859,11.659204868666194,16.97893885806303,7.669941500959021,2.272534187507778,6.063452924865114,7.334355397146835,-0.0368046,0.08567379,0.004123337,0.3380157205397096,0.1267699534237227,0.5940725148147522,11.00095523085828,16.688261288172754,7.525045559677096,2.0200497691963357,5.911164185611527,7.27725674680839,-0.014202606,0.04138609,0.007941242,0.3266837244861845,0.1105675873211466,0.5532394029972262,10.495712398870417,16.479709737966118,7.461774052091999,7255.0
7.0,2.0,5.0,5.0,1.4600998916012364,5.852380275690537,7.491634380148859,0.043371398,0.0006108648,0.0013744457,0.3197277433344619,0.1297454040341965,0.5908869401699692,12.043661481366655,17.268786131388705,7.672551316683098,2.001724148092303,5.968844120672995,7.338247640035671,0.052687086,-0.07925971,0.10415245,0.3195186102352872,0.1292265611844948,0.5860510826467058,11.633849958633292,17.0018811627894,7.670451287359804,2.2713331300360893,6.064075409743301,7.333153225791472,-0.0368046,0.08567379,0.004123337,0.318920076247168,0.1155049750010111,0.5918102875310526,10.992408323739664,16.690536842131326,7.532052240062276,2.0239068131614912,5.917831691536803,7.278297202117996,-0.014202606,0.04138609,0.007941242,0.3291470471170122,0.1010642075275405,0.574542543793907,10.465496696109698,16.487880454269458,7.467919153171683,7255.0
7.0,2.0,5.0,5.0,1.4739238353736763,5.835356570959374,7.504783968256135,0.043371398,0.0006108648,0.0013744457,0.303290281102371,0.1382346398828756,0.5682156537279243,12.079038451626303,17.287048051751185,7.670541895274067,1.9719450002511936,5.963627877424216,7.34158686755894,0.052687086,-0.07925971,0.10415245,0.3296338067964958,0.116658081962796,0.5812585263370073,11.650830367741632,16.969351852349487,7.665515669319983,2.265666735707829,6.0580368216945155,7.322739177785702,-0.0368046,0.08567379,0.004123337,0.3196885770049734,0.1223268450826916,0.5751576687493376,10.999130161093069,16.676340328328507,7.550261442127405,2.03111631879681,5.921704500702061,7.2737639319205405,-0.014202606,0.04138609,0.007941242,0.314129017917633,0.1402553512044959,0.5760036823524207,10.486803099000277,16.477652044122404,7.45895194651194,7255.0
7.0,9.0,3.0,2.0,1.4452649,5.456234,7.7964144,0.09086613,-0.113926284,0.027641632,0.28185213,0.11957671,0.5803284,11.137501,18.018751,7.1062503,2.359323,5.9288163,7.3172517,-0.009162972,0.004123337,-0.0048869182,0.3175542,0.1019161,0.567266,10.181251,17.400002,7.275,2.8594232,6.111269,6.9559355,-0.03054324,0.024587307,0.015882485,0.3475973,0.089635715,0.56272113,5.0437503,13.89375,8.55,2.8313074,6.06102,6.9894347,0.025503604,-0.01847866,0.004734202,0.36103547,0.086092114,0.5723574,2.5500002,12.468751,9.0,7932.0
7.0,9.0,3.0,2.0,1.4568681326615895,5.4689909284419365,7.80215787704531,0.09086613,-0.113926284,0.027641632,0.2685513298022484,0.1274742245556933,0.5935068227414699,11.137001220277597,18.015927875325417,7.114885236820932,2.353377755771337,5.925336633615477,7.313374466648549,-0.009162972,0.004123337,-0.0048869182,0.3106251439330024,0.1071321725119455,0.5577085356971578,10.177772323756356,17.41243557282121,7.264943442294045,2.846817602680852,6.110860937990503,6.959643799461835,-0.03054324,0.024587307,0.015882485,0.330221099610814,0.0828366024945685,0.5624019901682682,5.044768505248272,13.908892267790955,8.550410711415779,2.8024944949973425,6.050980643376284,6.975127665922842,0.025503604,-0.01847866,0.004734202,0.3536356633865842,0.0740616526668505,0.5881362990750967,2.545857060230622,12.460669288214058,8.992092247840473,7932.0
