digit1,acc1X,acc1Y,acc1Z,gyro1X,gyro1Y,gyro1Z,rot1X,rot1Y,rot1Z,mag1X,mag1Y,mag1Z,sequence
7,0.90388876,5.2893343,8.043473,0.3827068,0.074067354,0.2376264,0.17019989,-0.23334444,-0.7295151,9.675,34.2,32.925003,701
7,0.9706638109288463,5.38678862583132,7.320856824507311,0.3827068,0.074067354,0.2376264,0.1709576700988445,-0.1320100106834578,-0.7597046301005431,9.035857592248991,32.061614849576785,32.48895902050364,701
7,0.847498567191997,5.0345602390806405,8.165014069728773,0.3827068,0.074067354,0.2376264,0.171921801740485,-0.2753210259336885,-0.6912153835804253,10.316001678502149,36.10703914745667,30.166650782051583,701
7,0.9643209775924924,5.756778409250029,7.570701110437477,0.3827068,0.074067354,0.2376264,0.151335533398578,-0.1955284303478927,-0.7180304002939262,8.868670948688157,33.068255506262545,33.040674969871134,701
7,0.9158573313865072,5.699440939813571,8.634393704341193,0.3827068,0.074067354,0.2376264,0.2216739875844444,-0.2974638163157422,-0.7505217267213009,10.452844184566304,33.111957910485536,31.97113910193898,701
7,0.8955406478940374,4.743266047235894,8.698491721269123,0.3827068,0.074067354,0.2376264,0.2097752295368986,-0.2219044783719372,-0.7563080470990036,10.595766536896384,36.610943229763905,35.19489850671708,701
7,0.8269461330229086,4.871217382259569,8.13370314218493,0.3827068,0.074067354,0.2376264,0.1386178936302899,-0.1800131798381442,-0.7331652949657911,9.90834684201874,36.11781644288506,31.425255952798576,701
7,0.9765193902291048,5.594659981360818,7.303573830319438,0.3827068,0.074067354,0.2376264,0.1981530128100824,-0.2503993915817733,-0.759792690327196,9.673520183908352,34.45012806397966,35.954353884743036,701
7,0.910657543608171,5.0296677942127355,7.872465943132313,0.3827068,0.074067354,0.2376264,0.2380307779086923,-0.2072774619707002,-0.6655739255562294,9.72597566872214,33.229014672527114,30.396036204340888,701
7,0.8380452851687087,5.346934582776262,8.252861399128498,0.3827068,0.074067354,0.2376264,0.2017630856288377,-0.1296201723043584,-0.8264126433722295,9.353722735729376,32.026333818242776,33.369683760516175,701
7,0.9606503654466896,4.803823974952602,8.383365714349807,0.3827068,0.074067354,0.2376264,0.2484438539103813,-0.2439966272793949,-0.6814326018776332,9.57600638824315,35.628174411277946,31.103303409191287,701
